Date,Price
1997-15-01,3.45
1997-15-02,2.15
1997-15-03,1.89
1997-15-04,2.03
1997-15-05,2.25
1997-15-06,2.2
1997-15-07,2.19
1997-15-08,2.49
1997-15-09,2.88
1997-15-10,3.07
1997-15-11,3.01
1997-15-12,2.35
1998-15-01,2.09
1998-15-02,2.23
1998-15-03,2.24
1998-15-04,2.43
1998-15-05,2.14
1998-15-06,2.17
1998-15-07,2.17
1998-15-08,1.85
1998-15-09,2.02
1998-15-10,1.91
1998-15-11,2.12
1998-15-12,1.72
1999-15-01,1.85
1999-15-02,1.77
1999-15-03,1.79
1999-15-04,2.15
1999-15-05,2.26
1999-15-06,2.3
1999-15-07,2.31
1999-15-08,2.8
1999-15-09,2.55
1999-15-10,2.73
1999-15-11,2.37
1999-15-12,2.36
2000-15-01,2.42
2000-15-02,2.66
2000-15-03,2.79
2000-15-04,3.04
2000-15-05,3.59
2000-15-06,4.29
2000-15-07,3.99
2000-15-08,4.43
2000-15-09,5.06
2000-15-10,5.02
2000-15-11,5.52
2000-15-12,8.9
2001-15-01,8.17
2001-15-02,5.61
2001-15-03,5.23
2001-15-04,5.19
2001-15-05,4.19
2001-15-06,3.72
2001-15-07,3.11
2001-15-08,2.97
2001-15-09,2.19
2001-15-10,2.46
2001-15-11,2.34
2001-15-12,2.3
2002-15-01,2.32
2002-15-02,2.32
2002-15-03,3.03
2002-15-04,3.43
2002-15-05,3.5
2002-15-06,3.26
2002-15-07,2.99
2002-15-08,3.09
2002-15-09,3.55
2002-15-10,4.13
2002-15-11,4.04
2002-15-12,4.74
2003-15-01,5.43
2003-15-02,7.71
2003-15-03,5.93
2003-15-04,5.26
2003-15-05,5.81
2003-15-06,5.82
2003-15-07,5.03
2003-15-08,4.99
2003-15-09,4.62
2003-15-10,4.63
2003-15-11,4.47
2003-15-12,6.13
2004-15-01,6.14
2004-15-02,5.37
2004-15-03,5.39
2004-15-04,5.71
2004-15-05,6.33
2004-15-06,6.27
2004-15-07,5.93
2004-15-08,5.41
2004-15-09,5.15
2004-15-10,6.35
2004-15-11,6.17
2004-15-12,6.58
2005-15-01,6.15
2005-15-02,6.14
2005-15-03,6.96
2005-15-04,7.16
2005-15-05,6.47
2005-15-06,7.18
2005-15-07,7.63
2005-15-08,9.53
2005-15-09,11.75
2005-15-10,13.42
2005-15-11,10.3
2005-15-12,13.05
2006-15-01,8.69
2006-15-02,7.54
2006-15-03,6.89
2006-15-04,7.16
2006-15-05,6.25
2006-15-06,6.21
2006-15-07,6.17
2006-15-08,7.14
2006-15-09,4.9
2006-15-10,5.85
2006-15-11,7.41
2006-15-12,6.73
2007-15-01,6.55
2007-15-02,8.0
2007-15-03,7.11
2007-15-04,7.6
2007-15-05,7.64
2007-15-06,7.35
2007-15-07,6.22
2007-15-08,6.22
2007-15-09,6.08
2007-15-10,6.74
2007-15-11,7.1
2007-15-12,7.11
2008-15-01,7.99
2008-15-02,8.54
2008-15-03,9.41
2008-15-04,10.18
2008-15-05,11.27
2008-15-06,12.69
2008-15-07,11.09
2008-15-08,8.26
2008-15-09,7.67
2008-15-10,6.74
2008-15-11,6.68
2008-15-12,5.82
2009-15-01,5.24
2009-15-02,4.52
2009-15-03,3.96
2009-15-04,3.5
2009-15-05,3.83
2009-15-06,3.8
2009-15-07,3.38
2009-15-08,3.14
2009-15-09,2.99
2009-15-10,4.01
2009-15-11,3.66
2009-15-12,5.35
2010-15-01,5.83
2010-15-02,5.32
2010-15-03,4.29
2010-15-04,4.03
2010-15-05,4.14
2010-15-06,4.8
2010-15-07,4.63
2010-15-08,4.32
2010-15-09,3.89
2010-15-10,3.43
2010-15-11,3.71
2010-15-12,4.25
2011-15-01,4.49
2011-15-02,4.09
2011-15-03,3.97
2011-15-04,4.24
2011-15-05,4.31
2011-15-06,4.54
2011-15-07,4.42
2011-15-08,4.06
2011-15-09,3.9
2011-15-10,3.57
2011-15-11,3.24
2011-15-12,3.17
2012-15-01,2.67
2012-15-02,2.51
2012-15-03,2.17
2012-15-04,1.95
2012-15-05,2.43
2012-15-06,2.46
2012-15-07,2.95
2012-15-08,2.84
2012-15-09,2.85
2012-15-10,3.32
2012-15-11,3.54
2012-15-12,3.34
2013-15-01,3.33
2013-15-02,3.33
2013-15-03,3.81
2013-15-04,4.17
2013-15-05,4.04
2013-15-06,3.83
2013-15-07,3.62
2013-15-08,3.43
2013-15-09,3.62
2013-15-10,3.68
2013-15-11,3.64
2013-15-12,4.24
2014-15-01,4.71
2014-15-02,6.0
2014-15-03,4.9
2014-15-04,4.66
2014-15-05,4.58
2014-15-06,4.59
2014-15-07,4.05
2014-15-08,3.91
2014-15-09,3.92
2014-15-10,3.78
2014-15-11,4.12
2014-15-12,3.48
2015-15-01,2.99
2015-15-02,2.87
2015-15-03,2.83
2015-15-04,2.61
2015-15-05,2.85
2015-15-06,2.78
2015-15-07,2.84
2015-15-08,2.77
2015-15-09,2.66
2015-15-10,2.34
2015-15-11,2.09
2015-15-12,1.93
2016-15-01,2.28
2016-15-02,1.99
2016-15-03,1.73
2016-15-04,1.92
2016-15-05,1.92
2016-15-06,2.59
2016-15-07,2.82
2016-15-08,2.82
2016-15-09,2.99
2016-15-10,2.98
2016-15-11,2.55
2016-15-12,3.59
2017-15-01,3.3
2017-15-02,2.85
2017-15-03,2.88
2017-15-04,3.1
2017-15-05,3.15
2017-15-06,2.98
2017-15-07,2.98
2017-15-08,2.9
2017-15-09,2.98
2017-15-10,2.88
2017-15-11,3.01
2017-15-12,2.82
2018-15-01,3.87
2018-15-02,2.67
2018-15-03,2.69
2018-15-04,2.8
2018-15-05,2.8
2018-15-06,2.97
2018-15-07,2.83
2018-15-08,2.96
2018-15-09,3.0
2018-15-10,3.28
2018-15-11,4.09
2018-15-12,4.04
2019-15-01,3.11
2019-15-02,2.69
2019-15-03,2.95
2019-15-04,2.65
2019-15-05,2.64
2019-15-06,2.4
2019-15-07,2.37
2019-15-08,2.22
2019-15-09,2.56
2019-15-10,2.33
2019-15-11,2.65
2019-15-12,2.22
2020-15-01,2.02
2020-15-02,1.91
2020-15-03,1.79
2020-15-04,1.74
2020-15-05,1.75
2020-15-06,1.63
2020-15-07,1.77
2020-15-08,2.3
2020-15-09,1.92
2020-15-10,2.39
2020-15-11,2.61
2020-15-12,2.59
2021-15-01,2.71
2021-15-02,5.35
2021-15-03,2.62
2021-15-04,2.66
2021-15-05,2.91
